Time,Character,Catagory,Elapsed
11:15,Dobby,Creature,675
3:30,Nagini,Creature,210
1:45,Aragog,Creature,105
3:30,Fang,Creature,210
1:30,Firenze,Creature,90
1:45,Grawp,Creature,105
3:15,Fawkes,Creature,195
3:00,Bogrod,Creature,180
6:15,Hedwig,Creature,375
3:00,Kreacher,Creature,180
7:15,Griphook,Creature,435
8:00,Buckbeak,Creature,480
1:45,Crookshanks,Creature,105
1:30,Sir Nicholas 'Nearly-Headless Nick',Gryffindor,90
539:15,Harry Potter,Gryffindor,32355
211:45,Ron Weasley,Gryffindor,12705
205:00,Hermione Granger,Gryffindor,12300
77:15,Albus Dumbledore,Gryffindor,4635
45:45,Rubeus Hagrid,Gryffindor,2745
30:15,Ginny Weasley,Gryffindor,1815
20:45,Sirius Black,Gryffindor,1245
28:45,Minerva McGonagall,Gryffindor,1725
26:00,Remus Lupin,Gryffindor,1560
19:45,Fred Weasley,Gryffindor,1185
20:15,George Weasley,Gryffindor,1215
28:15,Neville Longbottom,Gryffindor,1695
9:45,Molly Weasley,Gryffindor,585
15:45,Arthur Weasley,Gryffindor,945
2:45,Katie Bell,Gryffindor,165
8:15,Peter Pettigrew,Gryffindor,495
1:45,Bill Weasley,Gryffindor,105
5:00,Percy Weasley,Gryffindor,300
9:45,Seamus Finnigan,Gryffindor,585
2:15,James Potter,Gryffindor,135
2:30,Cormac McLaggen,Gryffindor,150
2:00,Romilda Vane,Gryffindor,120
3:30,Lily Potter,Gryffindor,210
6:45,Dean Thomas,Gryffindor,405
4:45,Parvati Patil,Gryffindor,285
4:30,Oliver Wood,Gryffindor,270
5:30,Lavender Brown,Gryffindor,330
1:45,Angelina Johnson,Gryffindor,105
3:00,Nigel,Gryffindor,180
5:00,Nymphadora Tonks,Hufflepuff,300
6:45,Cho Chang,Hufflepuff,405
8:15,Cedric Diggory,Hufflepuff,495
2:00,Pomona Sprout,Hufflepuff,120
8:15,Petunia Dursley,Muggle,495
1:30,Frank Bryce,Muggle,90
11:00,Vernon Dursley,Muggle,660
9:45,Dudley Dursley,Muggle,585
2:45,Marge Dursley,Muggle,165
2:45,Moaning Myrtle,Ravenclaw,165
17:15,Luna Lovegood,Ravenclaw,1035
1:45,Marcus Flint,Ravenclaw,105
5:15,Professor Filius Flitwick,Ravenclaw,315
4:45,Padma Patil,Ravenclaw,285
10:30,Gilderoy Lockhart,Ravenclaw,630
2:15,Helena Ravenclaw,Ravenclaw,135
7:00,Quirinus Quirrell,Ravenclaw,420
5:00,Sybil Trelawney,Ravenclaw,300
5:00,Xenophilius Lovegood,Ravenclaw,300
7:15,Mr. Ollivander,Ravenclaw,435
37:15,Voldemort,Slytherin,2235
43:15,Severus Snape,Slytherin,2595
31:45,Draco Malfoy,Slytherin,1905
15:15,Lucius Malfoy,Slytherin,915
10:30,Bellatrix Lestrange,Slytherin,630
6:45,Narcissa Malfoy,Slytherin,405
2:30,Blaise Zabini,Slytherin,150
7:45,Gregory Goyle,Slytherin,465
6:15,Vincent Crabbe,Slytherin,375
18:45,Horace Slughorn,Slytherin,1125
1:45,Albus Severus Potter,Slytherin,105
3:30,Scabior,Slytherin,210
16:00,Dolores Umbridge,Slytherin,960
3:30,Alastor 'Mad-Eye' Moody,Unknown,210
3:30,Aberforth Dumbledore,Unknown,210
6:30,Fleur Delacour,Unknown,390
5:15,Viktor Krum,Unknown,315
1:45,Fenrir Greyback,Unknown,105
2:15,Poppy Pomfrey,Unknown,135
2:30,Rufus Scrimgeour,Unknown,150
1:45,Rolanda Hooch,Unknown,105
2:00,Alecto Carrow,Unknown,120
2:00,Amycus Carrow,Unknown,120
1:30,Amos Diggory,Unknown,90
3:00,Mundungus Fletcher,Unknown,180
3:30,Rita Skeeter,Unknown,210
1:30,Gabrielle Delacour,Unknown,90
2:00,Yaxley,Unknown,120
1:30,Bathilda Bagshot,Unknown,90
2:00,Stan Shunpike,Unknown,120
1:30,Arabella Figg,Unknown,90
1:45,Mary Cattermole,Unknown,105
16:15,Bartemius Crouch Jr.,Unknown,975
5:15,Bartemius Crouch Sr.,Unknown,315
9:15,Cornelius Fudge,Unknown,555
8:00,Argus Filch,Unknown,480
4:30,Kingsley Shacklebolt,Unknown,270
3:15,Igor Karkaroff,Unknown,195
3:15,Olympe Maxime,Unknown,195